superblue18, superblue5, superblue16, superblue1, superblue3, superblue4, superblue10, superblue7
13277,	 	16486,		25579,		25978,		34610,		39466,		71254,		88645
13138,	 	15489,		25686,		25840,		35185,		39555,		70952,		88656
13356,	 	15554,		25438,		25648,		35126,		39837,		71293,		89170
12870,	 	15478,		25275,		25993,		34930,		39466,		71426,		88691
13197,	 	15480,		24704,		25905,		35357,		39290,		71760,		88859
13036,	 	15490,		25199,		26292,		34709,		39866,		71322,		88910
12993,	 	15490,		25607,		25931,		35341,		40140,		71048,		89536
13198,	 	15541,		25055,		25939,		34600,		39220,		71300,		88635
12978,	 	15626,		25245,		25447,		34469,		39466,		71141,		88542
12887,	 	15625,		25673,		25426,		34667,		39367,		72324,		88357
